Record,Vital,Lag,MAE,RMSE,MAPE
p000020-2183-04-28-17-47n,HR,4,0.2874956339187591,0.419514088767052,0.3575257875569313
p000020-2183-04-28-17-47n,RESP,4,0.03149941446382698,0.03622434389679959,0.3149941446382698
p000020-2183-04-28-17-47n,SpO2,4,0.40050397621930073,0.49251759325356304,0.41667467656732815
p000052-2191-01-10-12-15n,HR,1,1.6631180792816722,1.9225910609550434,1.8903154890204135
p000052-2191-01-10-12-15n,RESP,1,2.726543724956556,3.30965168857379,14.671234458617871
p000052-2191-01-10-12-15n,SpO2,1,0.4584061743171873,0.5535138576346372,0.4756058358596842
p000109-2142-01-14-18-53n,HR,1,1.527509386006176,1.6200439918218066,1.5006612342378758
p000109-2142-01-14-18-53n,RESP,1,1.7067398998443792,1.9269299005271234,8.60606116912112
p000109-2142-01-14-18-53n,SpO2,1,0.5853392096870991,0.8000533624257633,0.5929641116774904
p000124-2160-07-05-21-51n,HR,1,2.58761873228777,2.853365714771111,5.070446006415863
p000124-2160-07-05-21-51n,RESP,1,1.3866915547604601,1.4291154536248503,8.340869015989476
p000124-2160-07-05-21-51n,SpO2,1,1.3710575574698425,1.4779218437909478,1.4113409782668451
p000124-2166-01-11-23-28n,HR,1,1.2890131749912925,1.5272237874819863,1.125648728907229
p000124-2166-01-11-23-28n,RESP,1,4.514093592009335,4.719982329204732,233.31212447058496
p000124-2166-01-11-23-28n,SpO2,1,5.778231700894153,10.015954745932495,6.818773757373134
p000188-2162-01-10-18-53n,HR,2,1.154666118327191,1.4236966265583286,1.1943652837799297
p000188-2162-01-10-18-53n,RESP,2,0.3844072802882465,0.5235109886949588,2.279676709145499
p000188-2162-01-10-18-53n,SpO2,2,0.12909038804260292,0.1699357788279711,0.1293511843116837
p000208-2188-05-18-00-06n,HR,2,1.274749063922576,1.4934631480750762,1.837972510885086
p000208-2188-05-18-00-06n,RESP,2,0.8282216549028985,0.9571075015278532,2.9195896359950475
p000208-2188-05-18-00-06n,SpO2,2,0.21737042871558857,0.26864258884103864,0.2329065548888465
p000214-2188-10-28-22-02n,HR,1,1.4337872716340159,1.6126919696743287,1.8372212884237369
p000214-2188-10-28-22-02n,RESP,1,2.284838332672943,2.8023320264849656,19.40048944575488
p000214-2188-10-28-22-02n,SpO2,1,0.10122286582885494,0.11267855009999267,0.10122286582885495
p000222-2142-06-23-20-05n,HR,2,2.984987139336441,3.5865747421802596,4.214821077909497
p000222-2142-06-23-20-05n,RESP,2,1.6977126023014073,2.0326160897083545,13.70468899084282
p000222-2142-06-23-20-05n,SpO2,2,1.4762514724870457,1.9322978524166574,1.5481203628548519
p000263-2160-01-08-23-52n,HR,1,4.150638988146412,4.944097334357078,4.438921757599688
p000263-2160-01-08-23-52n,RESP,1,2.9849979216745077,3.36616973126844,15.447764415202222
p000263-2160-01-08-23-52n,SpO2,1,0.8968535966165178,1.1635898880318027,0.9398402743455634
p000263-2160-01-11-11-58n,HR,2,0.9935311761335719,1.1478317211251663,1.6969616258714584
p000263-2160-01-11-11-58n,RESP,2,0.37067514302145066,0.45012119866602535,2.0328457730267107
